.id,simd,n_pop,mean_age,n_cvd,p_cvd
16,1,1574,59.4764930114358,611,38.8182973316391
16,2,1814,59.7822491730981,708,39.0297684674752
16,3,1837,59.3500272182907,698,37.996733805117
16,4,1594,59.4460476787955,628,39.3977415307403
16,5,1772,59.3278781038375,740,41.7607223476298
17,1,1522,59.6524310118265,580,38.107752956636
17,2,1817,59.5685195376995,734,40.3962575674188
17,3,1849,59.6901027582477,709,38.3450513791239
17,4,1635,59.4281345565749,638,39.0214067278288
17,5,1768,59.3257918552036,702,39.7058823529412
18,1,1530,59.6176470588235,599,39.1503267973856
18,2,1833,59.505728314239,701,38.2433169667212
18,3,1864,59.6614806866953,718,38.519313304721
18,4,1688,59.3898104265403,654,38.7440758293839
18,5,1676,59.8174224343676,687,40.9904534606205
19,1,1546,59.4489003880983,634,41.0090556274256
19,2,1803,59.5191347753744,716,39.7115917914587
19,3,1846,59.8239436619718,755,40.899241603467
19,4,1659,59.7257383966245,646,38.9391199517782
19,5,1737,60.062751871042,685,39.4358088658607
20,1,1476,59.3563685636856,566,38.3468834688347
20,2,1865,59.8498659517426,710,38.0697050938338
20,3,1878,59.7113951011715,712,37.912673056443
20,4,1627,59.4074984634296,642,39.459127228027
20,5,1745,59.6899713467049,647,37.0773638968481
21,1,1567,59.3509891512444,631,40.2680280791321
21,2,1859,59.6223776223776,735,39.5373856912319
21,3,1878,59.8509052183174,726,38.6581469648562
21,4,1543,59.4614387556708,576,37.3298768632534
21,5,1744,59.8641055045872,695,39.8509174311927
22,1,1563,59.5700575815739,629,40.2431222008957
22,2,1781,59.7720381807973,744,41.7742841100505
22,3,1837,60.0582471420795,715,38.9221556886228
22,4,1659,59.3050030138638,675,40.6871609403255
22,5,1751,59.4231867504283,669,38.2067390062821
23,1,1513,60.1824190350298,598,39.5241242564441
23,2,1878,59.2252396166134,772,41.1075612353568
23,3,1803,59.6422628951747,704,39.0460343871326
23,4,1648,59.4981796116505,627,38.0461165048544
23,5,1749,60.1629502572899,697,39.8513436249285
24,1,1547,59.1435035552683,621,40.142210730446
24,2,1819,59.5261132490379,724,39.802089059923
24,3,1802,59.4389567147614,716,39.7336293007769
24,4,1618,59.5166872682324,657,40.6056860321384
24,5,1805,59.5512465373961,710,39.3351800554017
25,1,1560,59.4442307692308,619,39.6794871794872
25,2,1822,59.3529088913282,752,41.2733260153677
25,3,1800,59.5072222222222,701,38.9444444444444
25,4,1685,59.559643916914,639,37.9228486646884
25,5,1724,59.8491879350348,664,38.5150812064965
26,1,1569,59.3014659018483,620,39.5156150414277
26,2,1766,59.4869762174406,691,39.1279728199321
26,3,1903,59.348922753547,752,39.5165528113505
26,4,1625,59.5347692307692,609,37.4769230769231
26,5,1728,59.7384259259259,666,38.5416666666667
27,1,1540,59.6707792207792,602,39.0909090909091
27,2,1844,60.0347071583514,706,38.2863340563991
27,3,1860,59.3881720430108,695,37.3655913978495
27,4,1605,59.6386292834891,603,37.5700934579439
27,5,1742,59.5740528128588,683,39.2078071182549
28,1,1569,59.6845124282983,641,40.8540471637986
28,2,1811,59.4334621755936,727,40.1435670900055
28,3,1893,59.3402007395668,731,38.6159535129424
28,4,1567,59.9872367581366,620,39.5660497766433
28,5,1751,59.4991433466591,674,38.4922901199315
29,1,1516,59.6734828496042,599,39.5118733509235
29,2,1814,59.7381477398016,695,38.3131201764057
29,3,1816,59.4900881057269,683,37.6101321585903
29,4,1639,59.5515558267236,635,38.7431360585723
29,5,1806,59.890365448505,733,40.5869324473976
30,1,1517,59.7468688200396,617,40.6723796967699
30,2,1816,59.375,743,40.9140969162996
30,3,1831,59.809393773894,709,38.7220098306936
30,4,1640,59.7548780487805,644,39.2682926829268
30,5,1787,59.5428091773923,732,40.9625069949636
31,1,1509,59.0536779324056,582,38.5685884691849
31,2,1793,59.8287785833798,705,39.3195761293921
31,3,1840,59.6233695652174,717,38.9673913043478
31,4,1718,59.4703143189756,668,38.8824214202561
31,5,1731,59.6967071057192,690,39.8613518197574
32,1,1572,59.4949109414758,614,39.058524173028
32,2,1782,59.5667789001122,735,41.2457912457912
32,3,1812,59.5281456953642,681,37.5827814569536
32,4,1660,59.5090361445783,617,37.1686746987952
32,5,1765,59.7739376770538,666,37.7337110481586
33,1,1543,59.8826960466624,579,37.5243033052495
33,2,1864,59.3567596566524,752,40.343347639485
33,3,1748,59.6178489702517,682,39.0160183066362
33,4,1641,59.6093845216332,669,40.7678244972578
33,5,1795,59.641782729805,703,39.1643454038997
34,1,1518,59.4209486166008,621,40.9090909090909
34,2,1873,59.6412172984517,723,38.6011745862253
34,3,1783,59.8508132361189,672,37.6892877173303
34,4,1665,59.9363363363363,646,38.7987987987988
34,5,1752,59.5022831050228,695,39.6689497716895
35,1,1546,59.745148771022,619,40.0388098318241
35,2,1847,59.2441797509475,710,38.4407146724418
35,3,1899,59.9046866771985,740,38.9678778304371
35,4,1567,60.0906190172304,651,41.5443522654754
35,5,1732,59.6905311778291,668,38.568129330254
36,1,1493,59.7126590756865,557,37.3074346952445
36,2,1810,59.3127071823205,718,39.6685082872928
36,3,1893,59.7279450607501,735,38.8272583201268
36,4,1622,59.6060419235512,649,40.0123304562269
36,5,1773,59.4827975183305,704,39.7067117879301
37,1,1508,60.0842175066313,593,39.3236074270557
37,2,1780,59.4516853932584,688,38.6516853932584
37,3,1856,59.8335129310345,745,40.1400862068966
37,4,1658,59.4963811821472,637,38.4197828709288
37,5,1789,59.5103409726104,731,40.860816098379
38,1,1524,59.4488188976378,595,39.0419947506562
38,2,1847,59.6258798050893,682,36.9247428262047
38,3,1796,59.3157015590201,704,39.1982182628062
38,4,1580,60.0658227848101,582,36.8354430379747
38,5,1844,59.5558568329718,688,37.3101952277657
39,1,1567,59.694958519464,600,38.2897255902999
39,2,1798,59.2864293659622,701,38.9877641824249
39,3,1877,59.3596164091636,718,38.2525306339904
39,4,1595,59.6244514106583,607,38.0564263322884
39,5,1754,60.0039908779932,671,38.2554161915621
40,1,1587,59.8840579710145,631,39.760554505356
40,2,1822,59.4209659714599,744,40.834248079034
40,3,1805,59.4238227146814,728,40.3324099722992
40,4,1596,59.5858395989975,623,39.0350877192983
40,5,1781,59.3267827063448,709,39.8090960134756
41,1,1531,59.4010450685826,622,40.6270411495754
41,2,1862,59.4001074113856,715,38.3995703544576
41,3,1857,59.6785137318255,724,38.9876144318794
41,4,1574,59.8068614993647,594,37.7382465057179
41,5,1767,59.6304470854556,695,39.3322014714205
42,1,1585,59.21261829653,607,38.2965299684543
42,2,1815,59.8440771349862,720,39.6694214876033
42,3,1801,59.5330372015547,685,38.0344253192671
42,4,1615,58.9393188854489,627,38.8235294117647
42,5,1775,59.6045070422535,709,39.943661971831
43,1,1592,59.6143216080402,609,38.2537688442211
43,2,1812,59.8769315673289,704,38.8520971302428
43,3,1845,59.8065040650407,720,39.0243902439024
43,4,1587,59.7529930686831,584,36.7989918084436
43,5,1755,59.5185185185185,680,38.7464387464387
44,1,1512,59.6845238095238,607,40.1455026455027
44,2,1802,59.8218645948946,685,38.0133185349612
44,3,1860,59.2370967741936,689,37.0430107526882
44,4,1637,59.8521686010996,618,37.7519853390348
44,5,1780,59.5994382022472,689,38.7078651685393
45,1,1548,59.5361757105943,607,39.2118863049096
45,2,1766,59.6240090600227,666,37.7123442808607
45,3,1911,59.3307169021455,739,38.6708529565673
45,4,1604,59.7175810473815,634,39.5261845386534
45,5,1762,59.1299659477866,678,38.4790011350738
46,1,1560,59.8762820512821,610,39.1025641025641
46,2,1780,59.7949438202247,707,39.7191011235955
46,3,1872,59.8605769230769,746,39.8504273504274
46,4,1668,59.4418465227818,663,39.7482014388489
46,5,1711,59.3699590882525,654,38.2232612507306
47,1,1539,59.8284600389864,627,40.7407407407407
47,2,1835,59.7100817438692,744,40.5449591280654
47,3,1819,59.6250687190764,715,39.3073117097306
47,4,1622,59.15598027127,674,41.5536374845869
47,5,1776,59.3992117117117,671,37.7815315315315
48,1,1489,59.0241773002015,615,41.3028878441907
48,2,1863,59.7176596886742,739,39.6672034353194
48,3,1872,59.7126068376068,739,39.4764957264957
48,4,1617,59.952380952381,629,38.8991960420532
48,5,1750,59.628,683,39.0285714285714
49,1,1516,59.0303430079156,598,39.4459102902375
49,2,1812,59.2604856512141,717,39.5695364238411
49,3,1888,59.4375,703,37.2351694915254
49,4,1631,60.1385652973636,665,40.7725321888412
49,5,1744,59.8732798165138,667,38.2454128440367
50,1,1628,59.6597051597052,631,38.7592137592138
50,2,1836,59.5844226579521,717,39.0522875816994
50,3,1791,59.3841429369068,690,38.5259631490787
50,4,1584,59.4551767676768,619,39.0782828282828
50,5,1752,59.6952054794521,682,38.9269406392694
51,1,1566,59.0868454661558,584,37.2924648786718
51,2,1816,59.5517621145375,727,40.0330396475771
51,3,1837,59.4986390854654,728,39.6298312465977
51,4,1657,59.2757996378998,621,37.4773687386844
51,5,1715,59.4239067055394,677,39.4752186588921
52,1,1609,59.5233064014916,617,38.3467992541952
52,2,1779,60.0112422709387,711,39.9662731871838
52,3,1885,59.4949602122016,759,40.2652519893899
52,4,1622,60.1627620221948,647,39.8890258939581
52,5,1696,59.5619103773585,644,37.9716981132076
53,1,1485,59.7205387205387,584,39.3265993265993
53,2,1835,59.4626702997275,705,38.4196185286104
53,3,1874,59.5442902881537,747,39.8612593383138
53,4,1613,59.7582145071296,644,39.9256044637322
53,5,1784,59.457399103139,695,38.957399103139
54,1,1495,59.4294314381271,585,39.1304347826087
54,2,1884,59.3046709129512,751,39.8619957537155
54,3,1837,59.0930865541644,718,39.0854654327708
54,4,1643,59.4510042604991,680,41.3877054169203
54,5,1732,59.7713625866051,662,38.2217090069284
55,1,1506,59.7954847277557,615,40.8366533864542
55,2,1825,59.4060273972603,706,38.6849315068493
55,3,1847,59.0113697888468,730,39.5235517054683
55,4,1672,59.6746411483254,628,37.5598086124402
55,5,1741,59.6863871338311,694,39.862148190695
56,1,1526,59.93250327654,611,40.0393184796855
56,2,1824,59.764802631579,671,36.7872807017544
56,3,1852,58.8212742980562,706,38.1209503239741
56,4,1570,59.8802547770701,617,39.2993630573248
56,5,1819,59.3655854865311,723,39.7471137987905
57,1,1546,59.7833117723157,608,39.3272962483829
57,2,1835,59.61689373297,695,37.874659400545
57,3,1798,59.3904338153504,728,40.4894327030033
57,4,1593,59.9905838041431,617,38.7319522912743
57,5,1819,59.5134689389775,679,37.328202308961
58,1,1532,59.4099216710183,637,41.579634464752
58,2,1838,59.3683351468988,687,37.3775843307943
58,3,1844,59.4295010845987,714,38.7201735357918
58,4,1623,59.5526802218115,669,41.2199630314233
58,5,1754,59.2366020524515,694,39.5667046750285
59,1,1504,59.781914893617,587,39.0292553191489
59,2,1843,60.1443298969072,740,40.1519262072708
59,3,1819,59.5695437053326,744,40.9015942825728
59,4,1631,59.9012875536481,635,38.9331698344574
59,5,1794,59.6683389074693,685,38.1828316610925
60,1,1489,59.6971121558093,567,38.0792478173271
60,2,1826,59.933734939759,757,41.4567360350493
60,3,1863,59.8915727321525,715,38.3789586688137
60,4,1636,59.5372860635697,644,39.3643031784841
60,5,1777,59.46539110861,671,37.7602701181767
61,1,1514,59.7615587846764,588,38.8375165125495
61,2,1862,59.6863587540279,749,40.2255639097744
61,3,1824,59.718201754386,693,37.9934210526316
61,4,1665,59.5351351351351,625,37.5375375375375
61,5,1726,59.9808806488992,669,38.7601390498262
62,1,1611,59.6803227808815,653,40.5338299193048
62,2,1787,59.6636821488528,706,39.5075545607163
62,3,1875,59.6266666666667,717,38.24
62,4,1591,59.5040854808297,615,38.6549340037712
62,5,1727,59.6543138390272,667,38.6218876664737
63,1,1578,59.3130544993663,627,39.7338403041825
63,2,1805,59.6803324099723,719,39.8337950138504
63,3,1903,59.4950078822911,733,38.5181292695744
63,4,1621,59.73658235657,623,38.4330660086366
63,5,1684,59.7957244655582,687,40.7957244655582
64,1,1530,59.8071895424837,605,39.5424836601307
64,2,1842,59.7480998914224,724,39.3051031487514
64,3,1796,59.1798440979956,719,40.0334075723831
64,4,1645,59.5544072948328,626,38.0547112462006
64,5,1778,59.9898762654668,680,38.2452193475816
65,1,1513,59.5465961665565,602,39.7884996695307
65,2,1917,59.2050078247261,742,38.7063119457486
65,3,1819,59.3309510720176,681,37.438152831226
65,4,1555,59.9832797427653,597,38.3922829581994
65,5,1787,59.2730833799664,700,39.1717963066592
66,1,1530,59.5673202614379,583,38.1045751633987
66,2,1758,59.2753128555176,716,40.7281001137656
66,3,1852,59.8428725701944,705,38.0669546436285
66,4,1676,59.3770883054893,652,38.9021479713604
66,5,1775,59.4670422535211,688,38.7605633802817
67,1,1537,59.1997397527651,620,40.3383214053351
67,2,1871,59.9289150187066,754,40.2993051843934
67,3,1808,59.2300884955752,687,37.9977876106195
67,4,1595,59.528526645768,631,39.5611285266458
67,5,1780,59.2460674157303,701,39.3820224719101
68,1,1543,59.4257939079715,620,40.1814646791964
68,2,1822,59.4725576289792,710,38.9681668496158
68,3,1837,59.4197060424605,747,40.6641262928688
68,4,1578,59.6970849176172,652,41.3181242078581
68,5,1811,59.5024848150193,664,36.6648260629487
69,1,1550,59.6193548387097,640,41.2903225806452
69,2,1868,59.5524625267666,784,41.9700214132762
69,3,1862,59.6766917293233,747,40.1181525241676
69,4,1607,59.3130056004978,613,38.1456129433727
69,5,1704,59.4906103286385,669,39.2605633802817
70,1,1560,59.9512820512821,615,39.4230769230769
70,2,1771,60.0152456239413,674,38.0575945793337
70,3,1852,59.4708423326134,710,38.3369330453564
70,4,1678,59.2765196662694,642,38.2598331346841
70,5,1730,59.7364161849711,691,39.9421965317919
71,1,1577,59.7945466074826,612,38.8078630310717
71,2,1865,59.7286863270778,723,38.7667560321716
71,3,1807,59.7825124515772,719,39.7897066961815
71,4,1630,59.7705521472393,643,39.4478527607362
71,5,1712,59.5391355140187,615,35.9228971962617
72,1,1469,59.6855003403676,566,38.5296119809394
72,2,1845,59.5349593495935,693,37.5609756097561
72,3,1819,59.6030786146234,719,39.5272127542606
72,4,1655,59.6700906344411,643,38.8519637462236
72,5,1803,59.6023294509152,708,39.2678868552413
73,1,1518,59.5638998682477,618,40.7114624505929
73,2,1878,59.5729499467519,765,40.7348242811502
73,3,1869,59.6902086677368,760,40.6634563937935
73,4,1624,59.5745073891626,623,38.3620689655172
73,5,1702,59.3490011750881,691,40.599294947121
74,1,1534,59.8063885267275,626,40.8083441981747
74,2,1794,59.3600891861761,678,37.7926421404682
74,3,1906,59.7219307450158,776,40.713536201469
74,4,1631,59.6266094420601,665,40.7725321888412
74,5,1726,59.5724217844728,664,38.4704519119351
75,1,1505,59.509634551495,604,40.1328903654485
75,2,1845,59.3073170731707,735,39.8373983739837
75,3,1854,59.8106796116505,727,39.2125134843582
75,4,1641,60.0195003046923,638,38.878732480195
75,5,1746,59.6219931271478,704,40.3207331042383
76,1,1572,59.5795165394402,585,37.2137404580153
76,2,1859,59.7816030123722,758,40.7746100053792
76,3,1868,59.8174518201285,721,38.5974304068523
76,4,1586,59.5762925598991,601,37.8940731399748
76,5,1706,59.3563892145369,661,38.7456037514654
77,1,1555,59.7228295819936,587,37.7491961414791
77,2,1797,59.5119643850863,710,39.5102949360045
77,3,1868,59.4919700214133,744,39.8286937901499
77,4,1623,59.4288354898336,648,39.9260628465804
77,5,1748,59.4336384439359,694,39.7025171624714
78,1,1469,59.8202859087815,575,39.142273655548
78,2,1856,59.4035560344828,709,38.2004310344828
78,3,1871,59.5403527525388,719,38.4286477819348
78,4,1610,59.5503105590062,655,40.6832298136646
78,5,1785,59.2319327731093,685,38.375350140056
79,1,1558,59.6335044929397,641,41.1424903722721
79,2,1802,59.5910099889012,721,40.0110987791343
79,3,1941,59.8907779495106,765,39.4126738794436
79,4,1585,59.9602523659306,599,37.7917981072555
79,5,1705,59.7184750733138,643,37.7126099706745
80,1,1535,59.7908794788274,612,39.8697068403909
80,2,1871,59.5574559059327,743,39.7113842864778
80,3,1806,59.6949058693245,700,38.7596899224806
80,4,1634,59.593635250918,634,38.8004895960832
80,5,1745,59.4171919770774,654,37.4785100286533
81,1,1558,59.9011553273428,615,39.4736842105263
81,2,1870,59.651871657754,740,39.572192513369
81,3,1854,59.6661272923409,734,39.5900755124056
81,4,1622,59.4463625154131,616,37.9778051787916
81,5,1687,59.6520450503853,669,39.6561944279787
82,1,1529,59.4218443427077,593,38.7835186396338
82,2,1799,59.9105058365759,709,39.4107837687604
82,3,1881,59.4720893141946,708,37.6395534290271
82,4,1603,59.6724890829694,636,39.6756082345602
82,5,1779,59.2580101180439,690,38.7858347386172
83,1,1567,59.5966815571155,639,40.7785577536694
83,2,1852,59.6463282937365,698,37.6889848812095
83,3,1815,59.3206611570248,662,36.4738292011019
83,4,1589,59.6154814348647,611,38.4518565135305
83,5,1768,60.1702488687783,667,37.7262443438914
84,1,1543,59.5288399222294,587,38.0427738172391
84,2,1822,59.3765093304062,706,38.748627881449
84,3,1866,59.566988210075,692,37.0846730975348
84,4,1644,59.55900243309,652,39.6593673965937
84,5,1716,59.7645687645688,673,39.2191142191142
85,1,1540,59.5668831168831,571,37.0779220779221
85,2,1759,59.5935190449119,681,38.7151790790222
85,3,1805,59.7578947368421,691,38.2825484764543
85,4,1700,59.7917647058824,643,37.8235294117647
85,5,1787,59.5545607162843,641,35.8701734750979
86,1,1561,59.4535554131967,614,39.3337604099936
86,2,1821,59.9000549148819,713,39.1543108182317
86,3,1866,59.8017148981779,717,38.4244372990354
86,4,1581,59.7792536369387,637,40.2909550917141
86,5,1762,59.7366628830874,687,38.9897843359818
87,1,1489,59.629952988583,604,40.5641370047011
87,2,1849,58.9037317468902,708,38.2909680908599
87,3,1851,59.3662884927067,685,37.0070232306861
87,4,1657,59.7833433916717,702,42.3657211828606
87,5,1745,59.6120343839542,714,40.9169054441261
88,1,1541,59.4334847501622,590,38.2868267358858
88,2,1848,59.5606060606061,697,37.7164502164502
88,3,1888,59.8940677966102,733,38.8241525423729
88,4,1577,59.4058338617629,621,39.3785668991757
88,5,1737,59.1243523316062,682,39.2630972941854
89,1,1552,59.8382731958763,612,39.4329896907217
89,2,1871,59.7183324425441,744,39.7648316408338
89,3,1799,59.3501945525292,689,38.2990550305725
89,4,1628,59.4404176904177,634,38.9434889434889
89,5,1741,59.814474439977,696,39.9770246984492
90,1,1530,59.4803921568628,605,39.5424836601307
90,2,1809,59.8711995577667,703,38.8612493090105
90,3,1822,59.6981339187706,688,37.7607025246981
90,4,1674,59.8757467144564,671,40.0836320191159
90,5,1756,59.2938496583144,697,39.6924829157175
91,1,1525,59.8170491803279,596,39.0819672131148
91,2,1792,59.6322544642857,709,39.5647321428572
91,3,1896,59.7790084388186,738,38.9240506329114
91,4,1636,60.0544009779951,652,39.8533007334963
91,5,1742,59.2388059701493,682,39.150401836969
92,1,1551,59.8059316569955,611,39.3939393939394
92,2,1813,60.0821842250414,692,38.1687810259239
92,3,1831,59.4986346258875,725,39.595849262698
92,4,1702,59.3031727379554,697,40.951821386604
92,5,1694,59.582054309327,647,38.1936245572609
93,1,1505,59.5833887043189,551,36.6112956810631
93,2,1835,59.7711171662125,702,38.2561307901907
93,3,1845,59.7506775067751,698,37.8319783197832
93,4,1591,59.6109365179133,635,39.9120050282841
93,5,1815,59.6942148760331,673,37.0798898071625
94,1,1578,59.2230671736375,608,38.5297845373891
94,2,1861,59.8667383127351,744,39.9785061794734
94,3,1790,59.4860335195531,687,38.3798882681564
94,4,1663,59.625375826819,656,39.4467829224294
94,5,1699,59.6038846380224,646,38.0223660977045
95,1,1516,59.7974934036939,596,39.3139841688654
95,2,1848,59.5643939393939,741,40.0974025974026
95,3,1898,59.918335089568,734,38.6722866174921
95,4,1609,59.6227470478558,578,35.9229334990678
95,5,1720,59.6866279069768,665,38.6627906976744
96,1,1520,59.8743421052632,579,38.0921052631579
96,2,1846,59.7069339111593,718,38.8949079089924
96,3,1828,59.7707877461707,713,39.0043763676149
96,4,1648,59.6935679611651,622,37.7427184466019
96,5,1749,59.7501429388222,708,40.4802744425386
97,1,1578,59.5506970849176,633,40.1140684410646
97,2,1835,59.8337874659401,724,39.4550408719346
97,3,1795,59.3559888579387,715,39.8328690807799
97,4,1604,59.788029925187,625,38.9650872817955
97,5,1779,59.1742551995503,732,41.1467116357504
98,1,1466,59.8417462482947,600,40.9276944065484
98,2,1876,59.5213219616205,724,38.592750533049
98,3,1872,59.6063034188034,737,39.3696581196581
98,4,1602,59.6167290886392,612,38.2022471910112
98,5,1775,59.5690140845071,662,37.2957746478873
99,1,1497,59.4074816299265,565,37.7421509686039
99,2,1877,59.9115610015983,728,38.7852956846031
99,3,1876,59.4402985074627,721,38.4328358208955
99,4,1601,59.9131792629607,645,40.2873204247345
99,5,1740,59.5781609195402,650,37.3563218390805
100,1,1488,59.6337365591398,579,38.9112903225806
100,2,1889,59.5399682371625,739,39.1212281630492
100,3,1862,59.3845327604726,703,37.7551020408163
100,4,1632,59.4901960784314,672,41.1764705882353
100,5,1720,59.6691860465116,650,37.7906976744186
101,1,1597,59.4145272385723,621,38.88541014402
101,2,1903,59.4182869153968,760,39.9369416710457
101,3,1823,59.5902358749314,670,36.7526055951728
101,4,1574,59.5063532401525,621,39.4536213468869
101,5,1694,59.4545454545455,646,38.1345926800472
102,1,1571,59.6231699554424,629,40.0381922342457
102,2,1888,59.7251059322034,714,37.8177966101695
102,3,1823,59.888096544158,718,39.3856280855732
102,4,1545,59.7754045307443,593,38.3818770226537
102,5,1764,59.2704081632653,668,37.8684807256236
103,1,1530,59.8960784313726,623,40.718954248366
103,2,1870,59.4208556149733,737,39.4117647058824
103,3,1822,59.8051591657519,697,38.2546652030735
103,4,1629,59.6396562308165,670,41.1295273173726
103,5,1740,59.4655172413793,656,37.7011494252874
104,1,1546,59.2018111254851,595,38.4864165588616
104,2,1827,59.400109469075,717,39.2446633825944
104,3,1857,59.6348949919225,723,38.9337641357028
104,4,1647,59.3163327261688,647,39.2835458409229
104,5,1714,59.7088681446908,694,40.4900816802801
105,1,1600,59.609375,645,40.3125
105,2,1827,59.5588396278052,731,40.0109469074986
105,3,1902,59.6324921135647,718,37.7497371188223
105,4,1523,59.4668417596848,606,39.7898883782009
105,5,1739,59.4180563542266,669,38.4703852788959
106,1,1508,59.8587533156499,613,40.6498673740053
106,2,1844,59.4636659436009,708,38.3947939262473
106,3,1841,59.6681151548072,741,40.2498642042368
106,4,1615,59.3684210526316,645,39.938080495356
106,5,1783,59.3651149747617,685,38.418395961862
107,1,1496,59.8743315508022,597,39.9064171122995
107,2,1878,59.7358892438765,708,37.6996805111821
107,3,1801,59.7690172126596,724,40.199888950583
107,4,1653,59.4289171203872,646,39.0804597701149
107,5,1763,59.2348269994328,663,37.6063528077141
108,1,1543,59.1620220349968,615,39.8574206092029
108,2,1805,59.9711911357341,730,40.4432132963989
108,3,1819,59.4947773501924,698,38.3727322704783
108,4,1617,59.7254174397032,626,38.7136672850959
108,5,1807,59.4576646375208,703,38.9042612064195
109,1,1554,59.4253539253539,595,38.2882882882883
109,2,1814,59.5474090407938,714,39.3605292171996
109,3,1835,59.3852861035422,699,38.0926430517711
109,4,1636,59.5544009779951,631,38.5696821515892
109,5,1752,59.9223744292238,684,39.041095890411
110,1,1496,59.370320855615,604,40.3743315508021
110,2,1852,59.9022678185745,748,40.3887688984881
110,3,1773,59.7225042301185,710,40.0451212633954
110,4,1662,59.3489771359808,666,40.072202166065
110,5,1808,60.1316371681416,702,38.8274336283186
111,1,1547,59.6386554621849,634,40.9825468648998
111,2,1842,59.9299674267101,740,40.1737242128122
111,3,1842,59.6313789359392,708,38.4364820846906
111,4,1648,59.7864077669903,641,38.8956310679612
111,5,1712,59.2353971962617,661,38.6098130841122
112,1,1593,59.4770872567483,626,39.2969240426868
112,2,1858,59.5898815931109,741,39.8815931108719
112,3,1859,59.2775685852609,713,38.3539537385691
112,4,1581,59.6666666666667,601,38.0139152435168
112,5,1700,59.754705882353,664,39.0588235294118
113,1,1551,59.5867182462927,618,39.8452611218569
113,2,1884,59.9612526539278,716,38.0042462845011
